language_name,language_code,dir
Kashmiri (Devanagari script),ks-IN,ltr
Kazakh,kk-KZ,ltr
Khasi,kha-IN,ltr
Khmer,km-KH,ltr
Kikuyu,ki-KE,ltr
Kimbundu,kmb-AO,ltr
Kinyarwanda,rw-RW,ltr
Kirundi,rn-BI,ltr
Kisii,guz-KE,ltr
Kongo,kg-CG,ltr
Konkani,kok-IN,ltr
Korean,ko-KR,ltr
Koyraboro Senni,ses-ML,ltr
Kurdish Sorani,ckb-IQ,rtl
Kyrgyz,ky-KG,ltr
Ladin,lld-IT,ltr
Lakota,lkt-US,ltr
Langi,lag-TZ,ltr
Lao,lo-LA,ltr
Latgalian,ltg-LV,ltr
Latin,la-VA,ltr
Latvian,lv-LV,ltr
Ligurian,lij-IT,ltr
Limburgish,li-NL,ltr
Lingala,ln-CD,ltr
Lithuanian,lt-LT,ltr
Lojban,jbo-001,ltr
Lombard,lmo-IT,ltr
Lower Sorbian,dsb-DE,ltr
Luba-Kasai,lua-CD,ltr
Luganda,lg-UG,ltr
Luhya,luy-KE,ltr
Lule Sami,smj-SE,ltr
Luo,luo-KE,ltr
Luxembourgish,lb-LU,ltr
Maa,mas-KE,ltr
Maay Maay,ymm-SO,ltr
Macedonian,mk-MK,ltr
Machame,jmc-TZ,ltr
Magahi,mag-IN,ltr
Maithili,mai-IN,ltr
Makonde,kde-TZ,ltr
Malagasy,mg-MG,ltr
Malay,ms-MY,ltr
Malayalam,ml-IN,ltr
Maldivian,dv-MV,rtl
Malgwa,mfi-NG,ltr
Maltese,mt-MT,ltr
Mam,mam-GT,ltr
Mandinka (Gambia),mnk-GM,ltr
Mandjak (Senegal),mfv-SN,ltr
Manipuri,mni-IN,ltr
Manx Gaelic,gv-IM,ltr
Maori,mi-NZ,ltr
Marathi,mr-IN,ltr
Margi,mrt-NG,ltr
Mari,mhr-RU,ltr
Marshallese,mh-MH,ltr
Mende,men-SL,ltr
Meru,mer-KE,ltr
Metaʼ,mgo-CM,ltr
Mijikenda,nyf-KE,ltr
Minangkabau,min-ID,ltr
Mizo,lus-IN,ltr
Moldavian,mo-MD,ltr
Mongolian,mn-MN,ltr
Montenegrin,sr-ME,ltr
Morisyen,mfe-MU,ltr
Mossi,mos-BF,ltr
N'Ko,nqo-GN,rtl
Nama,naq-NA,ltr
Ndau,ndc-MZ,ltr
Nepali,ne-NP,ltr
Ngiemboon,nnh-CM,ltr
Ngomba,jgo-CM,ltr
Nigerian Fulfulde,fuv-NG,ltr
Nigerian Pidgin,pcm-NG,ltr
Niuean,niu-NU,ltr
North Azerbaijani,azj-AZ,ltr
Northern Kurdish,kmr-TR,ltr
Northern Ndebele,nd-ZW,ltr
Northern Sami,se-NO,ltr
Northern Uzbek,uzn-UZ,ltr
Norwegian,no-NO,ltr
Norwegian Bokmål,nb-NO,ltr
Norwegian Nynorsk,nn-NO,ltr
Nuer,nus-SS,ltr
